Date,SPY,QQQ
5/28/19,280.15,177.49
5/24/19,282.78,178.16
5/23/19,282.14,178.25
5/22/19,285.63,181.02
5/21/19,286.51,181.83
5/20/19,283.95,179.95
5/17/19,285.84,183.04
5/16/19,287.7,184.93
5/15/19,285.06,183.09
5/14/19,283.4,180.54
5/13/19,280.86,178.58
5/10/19,288.1,185
5/9/19,286.66,184.77
5/8/19,287.53,185.77
5/7/19,287.93,186.24
5/6/19,292.82,189.94
5/3/19,294.03,191.11
5/2/19,291.18,188.11
5/1/19,291.81,188.93
4/30/19,294.02,189.54
4/29/19,293.87,191.02
4/26/19,293.41,190.65
4/25/19,292.05,190.48
4/24/19,292.23,189.71
4/23/19,292.88,190.31
4/22/19,290.27,187.92
4/18/19,290.02,187.39
4/17/19,289.45,187.15
4/16/19,290.16,186.5
4/15/19,289.97,185.86
4/12/19,290.16,185.83
4/11/19,288.21,185.03
4/10/19,288.29,185.47
4/9/19,287.31,184.48
4/8/19,288.79,185.13
4/5/19,288.57,184.66
4/4/19,287.18,183.71
4/3/19,286.42,183.78
4/2/19,285.97,182.73
4/1/19,285.83,182.04
3/29/19,282.48,179.66
3/28/19,280.71,178.31
3/27/19,279.65,177.9
3/26/19,281.12,179.05
3/25/19,279.04,178.22
3/22/19,279.25,178.56
3/21/19,284.73,182.57
3/20/19,281.55,179.76
3/19/19,282.4,179.05
3/18/19,282.33,178.45
3/15/19,281.31,178.35
3/14/19,281.16,176.71
3/13/19,281.34,177.01
3/12/19,279.49,175.69
3/11/19,278.44,174.73
3/8/19,274.46,171.17
3/7/19,275.01,171.43
3/6/19,277.33,173.56
3/5/19,279.02,174.55
3/4/19,279.4,174.42
3/1/19,280.42,174.39
2/28/19,278.68,173.19
2/27/19,279.2,173.59
2/26/19,279.32,173.7
2/25/19,279.52,173.52
2/22/19,279.14,172.89
2/21/19,277.42,171.62
2/20/19,278.41,172.25
2/19/19,277.85,172.28
2/15/19,277.37,171.94
2/14/19,274.38,171.22
2/13/19,274.99,171.01
2/12/19,274.1,170.89
2/11/19,270.62,168.4
2/8/19,270.47,168.56
2/7/19,270.14,168.23
2/6/19,272.74,170.52
2/5/19,273.1,171.03
2/4/19,271.96,169.53
2/1/19,270.06,167.45
1/31/19,269.93,168.16
1/30/19,267.58,165.68
1/29/19,263.41,161.57
1/28/19,263.76,163.11
1/25/19,265.78,165.15
1/24/19,263.55,163.2
1/23/19,263.41,162.15
1/22/19,262.86,161.94
1/18/19,266.46,165.25
1/17/19,262.96,163.63
1/16/19,260.98,162.35
1/15/19,260.35,162.38
1/14/19,257.4,159.27
1/11/19,258.98,160.69
1/10/19,258.88,161.28
1/9/19,257.97,160.82
1/8/19,256.77,159.52
1/7/19,254.38,158.09
1/4/19,252.39,156.23
1/3/19,244.21,149.82
1/2/19,250.18,154.88
12/31/18,249.92,154.26
