Date,Close/Last
8/5/19,180.73
8/2/19,187.35
8/1/19,190.15
7/31/19,191.1
7/30/19,193.78
7/29/19,194.62
7/26/19,195.29
7/25/19,193.3
7/24/19,195.15
7/23/19,193.79
7/22/19,192.53
7/19/19,191.01
7/18/19,192.42
7/17/19,192.2
7/16/19,193.15
7/15/19,194.15
7/12/19,193.53
7/11/19,192.42
7/10/19,192.56
7/9/19,190.66
7/8/19,189.71
7/5/19,191.05
7/3/19,191.44
7/2/19,190.01
7/1/19,189.26
6/28/19,186.74
6/27/19,186.5
6/26/19,185.79
6/25/19,184.93
6/24/19,188.16
6/21/19,188.57
6/20/19,188.85
6/19/19,187.11
6/18/19,186.41
6/17/19,183.74
6/14/19,182.64
6/13/19,183.42
6/12/19,182.34
6/11/19,183.4
6/10/19,183.15
6/7/19,181.04
6/6/19,177.61
6/5/19,176.21
6/4/19,174.91
6/3/19,170.12
5/31/19,173.95
5/30/19,176.77
5/29/19,176.03
5/28/19,177.49
5/24/19,178.16
5/23/19,178.25
5/22/19,181.02
5/21/19,181.83
5/20/19,179.95
5/17/19,183.04
5/16/19,184.93
5/15/19,183.09
5/14/19,180.54
5/13/19,178.58
5/10/19,185
5/9/19,184.77
5/8/19,185.77
5/7/19,186.24
5/6/19,189.94
5/3/19,191.11
5/2/19,188.11
5/1/19,188.93
4/30/19,189.54
4/29/19,191.02
4/26/19,190.65
4/25/19,190.48
4/24/19,189.71
4/23/19,190.31
4/22/19,187.92
4/18/19,187.39
4/17/19,187.15
4/16/19,186.5
4/15/19,185.86
4/12/19,185.83
4/11/19,185.03
4/10/19,185.47
4/9/19,184.48
4/8/19,185.13
4/5/19,184.66
4/4/19,183.71
4/3/19,183.78
4/2/19,182.73
4/1/19,182.04
3/29/19,179.66
3/28/19,178.31
3/27/19,177.9
3/26/19,179.05
3/25/19,178.22
3/22/19,178.56
3/21/19,182.57
3/20/19,179.76
3/19/19,179.05
3/18/19,178.45
3/15/19,178.35
3/14/19,176.71
3/13/19,177.01
3/12/19,175.69
3/11/19,174.73
3/8/19,171.17
3/7/19,171.43
3/6/19,173.56
3/5/19,174.55
3/4/19,174.42
3/1/19,174.39
2/28/19,173.19
2/27/19,173.59
2/26/19,173.7
2/25/19,173.52
2/22/19,172.89
2/21/19,171.62
2/20/19,172.25
2/19/19,172.28
2/15/19,171.94
2/14/19,171.22
2/13/19,171.01
2/12/19,170.89
2/11/19,168.4
2/8/19,168.56
2/7/19,168.23
2/6/19,170.52
2/5/19,171.03
2/4/19,169.53
2/1/19,167.45
1/31/19,168.16
1/30/19,165.68
1/29/19,161.57
1/28/19,163.11
1/25/19,165.15
1/24/19,163.2
1/23/19,162.15
1/22/19,161.94
1/18/19,165.25
1/17/19,163.63
1/16/19,162.35
1/15/19,162.38
1/14/19,159.27
1/11/19,160.69
1/10/19,161.28
1/9/19,160.82
1/8/19,159.52
1/7/19,158.09
1/4/19,156.23
1/3/19,149.82
1/2/19,154.88
12/31/18,154.26
12/28/18,152.97
12/27/18,153.05
12/26/18,152.46
12/24/18,143.5
12/21/18,147.57
12/20/18,152.29
12/19/18,154.53
12/18/18,158.42
12/17/18,157.43
12/14/18,161.08
12/13/18,165.1
12/12/18,165.05
12/11/18,163.61
12/10/18,163.07
12/7/18,161.38
12/6/18,166.89
12/4/18,165.72
12/3/18,172.33
11/30/18,169.37
11/29/18,168.15
11/28/18,168.7
11/27/18,163.44
11/26/18,162.89
11/23/18,159.21
11/21/18,160.37
11/20/18,159.16
11/19/18,162.06
11/16/18,167.5
11/15/18,168.09
11/14/18,165.2
11/13/18,166.47
11/12/18,166.33
11/9/18,171.52
11/8/18,174.46
11/7/18,175.58
11/6/18,170.24
11/5/18,168.96
11/2/18,169.38
11/1/18,172.06
10/31/18,169.82
10/30/18,165.92
10/29/18,163.23
10/26/18,166.66
10/25/18,171.06
10/24/18,165.34
10/23/18,173.27
10/22/18,173.91
10/19/18,173.02
10/18/18,173.18
10/17/18,177.29
10/16/18,177.22
10/15/18,172.21
10/12/18,174.32
10/11/18,169.6
10/10/18,171.73
10/9/18,179.63
10/8/18,179.05
10/5/18,180.15
10/4/18,182.38
10/3/18,185.95
10/2/18,185.75
10/1/18,186.17
9/28/18,185.79
9/27/18,185.83
9/26/18,184.27
9/25/18,184.14
9/24/18,183.89
9/21/18,183.71
9/20/18,184.72
9/19/18,182.7
9/18/18,182.84
9/17/18,181.34
9/14/18,183.99
9/13/18,184.53
9/12/18,182.58
9/11/18,183.12
9/10/18,181.72
9/7/18,181.11
9/6/18,181.81
9/5/18,183.45
9/4/18,185.85
8/31/18,186.65
8/30/18,186.41
8/29/18,186.74
8/28/18,184.61
8/27/18,184.34
8/24/18,182.48
8/23/18,180.8
8/22/18,181.06
8/21/18,180.36
8/20/18,179.7
8/17/18,179.86
8/16/18,179.82
8/15/18,179.23
8/14/18,181.45
8/13/18,180.32
8/10/18,180.52
8/9/18,181.91
8/8/18,182.02
8/7/18,181.8
8/6/18,181.14
8/3/18,180.08
8/2/18,179.53
8/1/18,177.12
7/31/18,176.45
7/30/18,175.11
7/27/18,177.62
7/26/18,180.05
7/25/18,182.82
7/24/18,180.3
7/23/18,179.56
7/20/18,178.99
7/19/18,179.03
7/18/18,179.93
7/17/18,180.27
7/16/18,179.18
7/13/18,179.61
7/12/18,179.46
7/11/18,176.42
7/10/18,177.32
7/9/18,177.19
7/6/18,175.61
7/5/18,172.92
7/3/18,170.8
7/2/18,172.8
6/29/18,171.65
6/28/18,171.19
6/27/18,169.73
6/26/18,172.07
6/25/18,171.37
6/22/18,175.32
6/21/18,175.71
6/20/18,177.25
6/19/18,176
6/18/18,176.5
6/15/18,176.98
6/14/18,177.6
6/13/18,175.82
6/12/18,175.83
6/11/18,174.91
6/8/18,174.44
6/7/18,174.43
6/6/18,175.86
6/5/18,174.84
6/4/18,174.3
6/1/18,172.74
5/31/18,170.07
5/30/18,170.18
5/29/18,168.97
5/25/18,169.72
5/24/18,169.55
5/23/18,169.6
5/22/18,168.18
5/21/18,168.4
5/18/18,167.46
5/17/18,168.33
5/16/18,168.98
5/15/18,167.87
5/14/18,169.75
5/11/18,169.46
5/10/18,169.62
5/9/18,167.88
5/8/18,166.07
5/7/18,166.24
5/4/18,164.87
5/3/18,161.8
5/2/18,161.82
5/1/18,162.78
4/30/18,160.94
4/27/18,162.09
4/26/18,161.99
4/25/18,158.65
4/24/18,158.46
4/23/18,161.89
4/20/18,162.3
4/19/18,164.91
4/18/18,166.44
4/17/18,166.1
4/16/18,162.6
4/13/18,161.37
4/12/18,162.21
4/11/18,160.28
4/10/18,161.21
4/9/18,157.73
4/6/18,156.63
4/5/18,160.65
4/4/18,159.74
4/3/18,157.26
4/2/18,155.51
3/29/18,160.13
3/28/18,157.25
3/27/18,159.08
3/26/18,164.4
3/23/18,158.51
3/22/18,162.8
3/21/18,166.92
3/20/18,167.65
3/19/18,167.1
3/16/18,171.02
3/15/18,171.53
3/14/18,171.68
3/13/18,171.71
3/12/18,174.08
3/9/18,173.16
3/8/18,169.86
3/7/18,168.93
3/6/18,168.54
3/5/18,167.83
3/2/18,165.99
3/1/18,164.48
2/28/18,167.21
2/27/18,168.29
2/26/18,170.4
2/23/18,168.17
2/22/18,164.8
2/21/18,164.82
2/20/18,165.29
2/16/18,164.96
2/15/18,165.7
2/14/18,162.68
2/13/18,159.69
2/12/18,158.87
2/9/18,156.1
2/8/18,153.45
2/7/18,160.21
2/6/18,162.31
2/5/18,158.12
2/2/18,164.61
2/1/18,167.96
1/31/18,169.4
1/30/18,168.7
1/29/18,170.1
1/26/18,170.93
1/25/18,168.35
1/24/18,168.41
1/23/18,169.51
1/22/18,168.12
1/19/18,166.34
1/18/18,165.82
1/17/18,165.79
1/16/18,164.02
1/12/18,164.49
1/11/18,163.29
1/10/18,162.18
1/9/18,162.56
1/8/18,162.55
1/5/18,161.92
1/4/18,160.31
1/3/18,160.03
1/2/18,158.49
12/29/17,155.76
12/28/17,156.73
12/27/17,156.54
12/26/17,156.52
12/22/17,157.37
12/21/17,157.55
12/20/17,157.53
12/19/17,157.7
12/18/17,158.64
12/15/17,157.65
12/14/17,155.88
12/13/17,155.99
12/12/17,155.69
12/11/17,155.9
12/8/17,154.7
12/7/17,154.02
12/6/17,153.5
12/5/17,152.81
12/4/17,152.71
12/1/17,154.49
11/30/17,155.15
11/29/17,153.86
11/28/17,156.59
11/27/17,156.19
11/24/17,156.26
11/22/17,155.69
11/21/17,155.5
11/20/17,153.83
11/17/17,153.95
11/16/17,154.54
11/15/17,152.59
11/14/17,153.31
11/13/17,153.87
11/10/17,153.68
11/9/17,153.69
11/8/17,154.5
11/7/17,153.88
11/6/17,153.79
11/3/17,153.27
11/2/17,151.81
11/1/17,152.1
10/31/17,152.15
10/30/17,151.58
10/27/17,151.24
10/26/17,146.96
10/25/17,147.43
10/24/17,147.99
10/23/17,147.74
10/20/17,148.71
10/19/17,148.31
10/18/17,148.86
10/17/17,149.04
10/16/17,148.85
10/13/17,148.34
10/12/17,147.77
10/11/17,148.04
10/10/17,147.6
10/9/17,147.49
10/6/17,147.66
10/5/17,147.46
10/4/17,146.03
10/3/17,145.89
10/2/17,145.58
9/29/17,145.45
9/28/17,144.41
9/27/17,144.46
9/26/17,143.17
9/25/17,142.8
9/22/17,144.32
9/21/17,144.46
9/20/17,145.35
9/19/17,145.8
9/18/17,145.55
9/15/17,146.06
9/14/17,145.56
9/13/17,146.42
9/12/17,146.22
9/11/17,145.87
9/8/17,144.21
9/7/17,145.47
9/6/17,145.13
9/5/17,144.69
9/1/17,146
8/31/17,146.2
8/30/17,144.65
8/29/17,142.97
8/28/17,142.41
8/25/17,141.97
8/24/17,142.27
8/23/17,142.69
8/22/17,143.2
8/21/17,141.05
8/18/17,141.23
8/17/17,141.33
8/16/17,144.28
8/15/17,144.03
8/14/17,143.93
8/11/17,142.1
8/10/17,141.03
8/9/17,144.12
8/8/17,144.31
8/7/17,144.56
8/4/17,143.65
8/3/17,143.39
8/2/17,143.95
8/1/17,143.56
7/31/17,143.23
7/28/17,143.84
7/27/17,143.96
7/26/17,144.87
7/25/17,144.4
7/24/17,144.77
7/21/17,144.11
7/20/17,144.17
7/19/17,143.98
7/18/17,143.14
7/17/17,142.19
7/14/17,142.12
7/13/17,141.01
7/12/17,140.7
7/11/17,139.05
7/10/17,138.66
7/7/17,137.76
7/6/17,136.29
7/5/17,137.53
7/3/17,136.19
6/30/17,137.64
6/29/17,137.59
6/28/17,140.02
6/27/17,138.03
6/26/17,140.58
6/23/17,141.24
6/22/17,140.7
6/21/17,140.74
6/20/17,139.36
6/19/17,140.46
6/16/17,138.15
6/15/17,139.13
6/14/17,139.75
6/13/17,140.36
6/12/17,139.23
6/9/17,139.98
6/8/17,143.57
6/7/17,143.42
6/6/17,142.86
6/5/17,143.43
6/2/17,143.46
6/1/17,141.84
5/31/17,141.29
5/30/17,141.34
5/26/17,141.22
5/25/17,140.97
5/24/17,139.78
5/23/17,139.14
5/22/17,139
5/19/17,137.84
5/18/17,137.26
5/17/17,136.07
5/16/17,139.62
5/15/17,139.04
5/12/17,138.6
5/11/17,138.29
5/10/17,138.4
5/9/17,138.32
5/8/17,137.84
5/5/17,137.54
5/4/17,137.04
5/3/17,136.99
5/2/17,137.43
5/1/17,137.2
4/28/17,135.99
4/27/17,135.75
4/26/17,134.94
4/25/17,135.13
4/24/17,134.16
4/21/17,132.56
4/20/17,132.59
4/19/17,131.49
4/18/17,131.28
4/17/17,131.48
4/13/17,130.4
4/12/17,130.92
4/11/17,131.45
4/10/17,132.02
4/7/17,131.97
4/6/17,132.04
4/5/17,131.97
4/4/17,132.51
4/3/17,132.3
3/31/17,132.38
3/30/17,132.47
3/29/17,132.25
3/28/17,131.64
3/27/17,130.84
3/24/17,130.63
3/23/17,130.36
3/22/17,130.69
3/21/17,129.81
3/20/17,131.81
3/17/17,131.69
3/16/17,132.01
3/15/17,132.1
3/14/17,131.29
3/13/17,131.61
3/10/17,131.39
3/9/17,130.84
3/8/17,130.74
3/7/17,130.51
3/6/17,130.73
3/3/17,131.02
3/2/17,130.78
3/1/17,131.44
2/28/17,130.02
2/27/17,130.42
2/24/17,130.26
2/23/17,130.01
2/22/17,130.5
2/21/17,130.45
2/17/17,129.81
2/16/17,129.25
2/15/17,129.29
2/14/17,128.53
2/13/17,128.1
2/10/17,127.38
2/9/17,126.96
2/8/17,126.5
2/7/17,126.29
2/6/17,125.83
2/3/17,125.68
2/2/17,125.32
2/1/17,125.43
1/31/17,124.57
1/30/17,124.82
