Date,Close/Last,,,,
5/1/20,$72.27 ,,,,
4/30/20,$73.45 ,,,,
4/29/20,$71.93 ,,,,
4/28/20,$69.65 ,,,,
4/27/20,$70.79 ,,,,
4/24/20,$70.74 ,,,,
4/23/20,$68.76 ,,,,
4/22/20,$69.03 ,,,,
4/21/20,$67.09 ,,,,
4/20/20,$69.23 ,,,,
4/17/20,$70.70 ,,,,
4/16/20,$71.67 ,,,,
4/15/20,$71.11 ,,,,
4/14/20,$71.76 ,,,,
4/13/20,$68.31 ,,,,
4/9/20,$67.00 ,,,,
4/8/20,$66.52 ,,,,
4/7/20,$64.86 ,,,,
4/6/20,$65.62 ,,,,
4/3/20,$60.35 ,,,,
4/2/20,$61.23 ,,,,
4/1/20,$60.23 ,,,,
3/31/20,$63.57 ,,,,
3/30/20,$63.70 ,,,,
3/27/20,$61.94 ,,,,
3/26/20,$64.61 ,,,,
3/25/20,$61.38 ,,,,
3/24/20,$61.72 ,,,,
3/23/20,$56.09 ,,,,
3/20/20,$57.31 ,,,,
3/19/20,$61.20 ,,,,
3/18/20,$61.67 ,,,,
3/17/20,$63.22 ,,,,
3/16/20,$60.55 ,,,,
3/13/20,$69.49 ,,,,
3/12/20,$62.06 ,,,,
3/11/20,$68.86 ,,,,
3/10/20,$71.34 ,,,,
3/9/20,$66.54 ,,,,
3/6/20,$72.26 ,,,,
3/5/20,$73.23 ,,,,
3/4/20,$75.69 ,,,,
3/3/20,$72.33 ,,,,
3/2/20,$74.70 ,,,,
2/28/20,$68.34 ,,,,
2/27/20,$68.38 ,,,,
2/26/20,$73.16 ,,,,
2/25/20,$72.02 ,,,,
2/24/20,$74.55 ,,,,
2/21/20,$78.26 ,,,,
2/20/20,$80.08 ,,,,
2/19/20,$80.91 ,,,,
2/18/20,$79.75 ,,,,
2/14/20,$81.24 ,,,,
2/13/20,$81.22 ,,,,
2/12/20,$81.80 ,,,,
2/11/20,$79.90 ,,,,
2/10/20,$80.39 ,,,,
2/7/20,$80.01 ,,,,
2/6/20,$81.30 ,,,,
2/5/20,$80.36 ,,,,
2/4/20,$79.71 ,,,,
2/3/20,$77.17 ,,,,
1/31/20,$77.38 ,,,,
1/30/20,$80.97 ,,,,
1/29/20,$81.09 ,,,,
1/28/20,$79.42 ,,,,
1/27/20,$77.24 ,,,,
1/24/20,$79.58 ,,,,
1/23/20,$79.81 ,,,,
1/22/20,$79.43 ,,,,
1/21/20,$79.14 ,,,,
1/17/20,$79.68 ,,,,
1/16/20,$78.81 ,,,,
1/15/20,$77.84 ,,,,
1/14/20,$78.17 ,,,,
1/13/20,$79.24 ,,,,
1/10/20,$77.58 ,,,,
1/9/20,$77.41 ,,,,
1/8/20,$75.80 ,,,,
1/7/20,$74.60 ,,,,
1/6/20,$74.95 ,,,,
1/3/20,$74.36 ,,,,
1/2/20,$75.09 ,,,,
12/31/19,$73.41 ,,,,
12/30/19,$72.88 ,,,,
12/27/19,$72.45 ,,,,
12/26/19,$72.48 ,,,,
12/24/19,$71.07 ,,,,
12/23/19,$71 ,,,,
12/20/19,$69.86 ,,,,
12/19/19,$70.01 ,,,,
12/18/19,$69.94 ,,,,
12/17/19,$70.10 ,,,,
12/16/19,$69.97 ,,,,
12/13/19,$68.79 ,,,,
12/12/19,$67.87 ,,,,
12/11/19,$67.69 ,,,,
12/10/19,$67.12 ,,,,
12/9/19,$66.73 ,,,,
12/6/19,$67.68 ,,,,
12/5/19,$66.40 ,,,,
12/4/19,$65.44 ,,,,
12/3/19,$64.86 ,,,,
12/2/19,$66.04 ,,,,
11/29/19,$66.81 ,,,,
11/27/19,$66.96 ,,,,
11/26/19,$66.07 ,,,,
11/25/19,$66.59 ,,,,
11/22/19,$65.45 ,,,,
11/21/19,$65.50 ,,,,
11/20/19,$65.80 ,,,,
11/19/19,$66.57 ,,,,
11/18/19,$66.78 ,,,,
11/15/19,$66.44 ,,,,
11/14/19,$65.66 ,,,,
11/13/19,$66.12 ,,,,
11/12/19,$65.49 ,,,,
11/11/19,$65.55 ,,,,
11/8/19,$65.04 ,,,,
11/7/19,$64.86 ,,,,
11/6/19,$64.31 ,,,,
11/5/19,$64.28 ,,,,
11/4/19,$64.38 ,,,,
11/1/19,$63.96 ,,,,
10/31/19,$62.19 ,,,,
10/30/19,$60.82 ,,,,
10/29/19,$60.82 ,,,,
10/28/19,$62.26 ,,,,
10/25/19,$61.65 ,,,,
10/24/19,$60.90 ,,,,
10/23/19,$60.80 ,,,,
10/22/19,$59.99 ,,,,
10/21/19,$60.13 ,,,,
10/18/19,$59.10 ,,,,
10/17/19,$58.82 ,,,,
10/16/19,$58.59 ,,,,
10/15/19,$58.83 ,,,,
10/14/19,$58.97 ,,,,
10/11/19,$59.05 ,,,,
10/10/19,$57.52 ,,,,
10/9/19,$56.76 ,,,,
10/8/19,$56.10 ,,,,
10/7/19,$56.77 ,,,,
10/4/19,$56.75 ,,,,
10/3/19,$55.21 ,,,,
10/2/19,$54.74 ,,,,
10/1/19,$56.15 ,,,,
9/30/19,$55.99 ,,,,
9/27/19,$54.71 ,,,,
9/26/19,$54.97 ,,,,
9/25/19,$55.26 ,,,,
9/24/19,$54.42 ,,,,
9/23/19,$54.68 ,,,,
9/20/19,$54.43 ,,,,
9/19/19,$55.24 ,,,,
9/18/19,$55.69 ,,,,
9/17/19,$55.18 ,,,,
9/16/19,$54.98 ,,,,
9/13/19,$54.69 ,,,,
9/12/19,$55.77 ,,,,
9/11/19,$55.90 ,,,,
9/10/19,$54.18 ,,,,
9/9/19,$53.54 ,,,,
9/6/19,$53.32 ,,,,
9/5/19,$53.32 ,,,,
9/4/19,$52.30 ,,,,
9/3/19,$51.43 ,,,,
8/30/19,$52.19 ,,,,
8/29/19,$52.25 ,,,,
8/28/19,$51.38 ,,,,
8/27/19,$51.04 ,,,,
8/26/19,$51.62 ,,,,
8/23/19,$50.66 ,,,,
8/22/19,$53.12 ,,,,
8/21/19,$53.16 ,,,,
8/20/19,$52.59 ,,,,
8/19/19,$52.59 ,,,,
8/16/19,$51.63 ,,,,
8/15/19,$50.44 ,,,,
8/14/19,$50.69 ,,,,
8/13/19,$52.24 ,,,,
8/12/19,$50.12 ,,,,
8/9/19,$50.25 ,,,,
8/8/19,$50.86 ,,,,
8/7/19,$49.76 ,,,,
8/6/19,$49.25 ,,,,
8/5/19,$48.34 ,,,,
8/2/19,$51.01 ,,,,
8/1/19,$52.11 ,,,,
7/31/19,$53.26 ,,,,
7/30/19,$52.20 ,,,,
7/29/19,$52.42 ,,,,
7/26/19,$51.94 ,,,,
7/25/19,$51.76 ,,,,
7/24/19,$52.17 ,,,,
7/23/19,$52.21 ,,,,
7/22/19,$51.81 ,,,,
7/19/19,$50.65 ,,,,
7/18/19,$51.42 ,,,,
7/17/19,$50.84 ,,,,
7/16/19,$51.13 ,,,,
7/15/19,$51.30 ,,,,
7/12/19,$50.83 ,,,,
7/11/19,$50.44 ,,,,
7/10/19,$50.81 ,,,,
7/9/19,$50.31 ,,,,
7/8/19,$50.01 ,,,,
7/5/19,$51.06 ,,,,
7/3/19,$51.10 ,,,,
7/2/19,$50.68 ,,,,
7/1/19,$50.39 ,,,,
6/28/19,$49.48 ,,,,
6/27/19,$49.94 ,,,,
6/26/19,$49.95 ,,,,
6/25/19,$48.89 ,,,,
6/24/19,$49.65 ,,,,
6/21/19,$49.70 ,,,,
6/20/19,$49.87 ,,,,
6/19/19,$49.47 ,,,,
6/18/19,$49.61 ,,,,
6/17/19,$48.47 ,,,,
6/14/19,$48.19 ,,,,
6/13/19,$48.54 ,,,,
6/12/19,$48.55 ,,,,
6/11/19,$48.70 ,,,,
6/10/19,$48.15 ,,,,
6/7/19,$47.54 ,,,,
6/6/19,$46.31 ,,,,
6/5/19,$45.64 ,,,,
6/4/19,$44.91 ,,,,
6/3/19,$43.33 ,,,,
5/31/19,$43.77 ,,,,
5/30/19,$44.58 ,,,,
5/29/19,$44.35 ,,,,
5/28/19,$44.56 ,,,,
5/24/19,$44.74 ,,,,
5/23/19,$44.92 ,,,,
5/22/19,$45.70 ,,,,
5/21/19,$46.65 ,,,,
5/20/19,$45.77 ,,,,
5/17/19,$47.25 ,,,,
5/16/19,$47.52 ,,,,
5/15/19,$47.73 ,,,,
5/14/19,$47.17 ,,,,
5/13/19,$46.43 ,,,,
5/10/19,$49.30 ,,,,
5/9/19,$50.18 ,,,,
