Date,Close/Last,Volume,Open,High,Low
11/09/2018,277.76,98751520,279.03,279.24,276.18
11/08/2018,280.5,65315460,280.11,281.22,279.22
11/07/2018,281.01,102473700,277.56,281.1,277.08
11/06/2018,275.12,58983590,273.32,275.3,273.25
11/05/2018,273.39,65439740,272.44,274.01,271.35
11/02/2018,271.89,122439600,274.75,275.23,269.59
11/01/2018,273.51,98741380,271.6,273.73,270.38
10/31/2018,270.63,127608600,270.65,273.23,270.12
10/30/2018,267.77,156591000,263.67,268.12,263.12
10/29/2018,263.86,159000800,268.8,270.25,259.85
10/26/2018,265.33,201334300,265.92,271,262.29
10/25/2018,270.08,137407500,267.38,271.81,266.23
10/24/2018,265.32,175529100,273.33,273.76,264.7
10/23/2018,273.61,145303800,270.95,274.87,268.61
10/22/2018,275.01,82135740,277,277.36,274.41
10/19/2018,276.25,139420600,277.13,279.3,275.47
10/18/2018,276.4,134193100,279.4,280.07,274.97
10/17/2018,280.45,110264900,280.44,281.15,277.56
10/16/2018,280.4,118066700,276.6,280.82,276.07
10/15/2018,274.4,101950500,275.55,277.04,274.3
10/12/2018,275.95,182875500,276.77,277.09,272.37
10/11/2018,272.17,272817700,277.08,278.9,270.36
10/10/2018,278.3,211986800,286.83,286.91,277.88
10/09/2018,287.4,74119800,287.39,288.86,286.77
10/08/2018,287.82,87632150,287.05,288.22,285.5
10/05/2018,287.82,105802000,289.69,290.27,286.22
10/04/2018,289.44,111364900,291.18,291.24,287.66
10/03/2018,291.72,64562270,292.74,293.21,291.32
10/02/2018,291.56,47142170,291.56,292.355,291.14
10/01/2018,291.73,61989950,292.11,292.93,290.98
09/28/2018,290.72,70041610,289.99,291.28,289.95
09/27/2018,290.69,59169340,290.41,291.91,290.1
09/26/2018,289.88,79534430,290.91,292.24,289.41
09/25/2018,290.75,44311990,291.53,291.65,290.4833
09/24/2018,291.02,53235550,291.34,291.5,290.37
09/21/2018,291.99,105393700,293.09,293.22,291.81
09/20/2018,293.58,100066700,292.64,293.94,291.2363
09/19/2018,291.22,48973100,290.97,291.69,290.825
09/18/2018,290.91,61839370,289.58,291.58,289.55
09/17/2018,289.34,67988580,290.82,290.86,289.03
09/14/2018,290.88,54931910,291.06,291.27,290
09/13/2018,290.83,50918630,290.32,291.0384,289.995
09/12/2018,289.12,59732730,289.06,289.8,288.23
09/11/2018,289.05,50392160,287.37,289.55,286.975
09/10/2018,288.1,49916740,288.74,289.04,287.88
09/07/2018,287.6,72113310,286.98,288.7,286.71
09/06/2018,288.16,65822170,289.15,289.49,287
09/05/2018,289.03,71962480,289.41,289.64,287.89
09/04/2018,289.81,57127320,289.84,290.21,288.68
08/31/2018,290.31,65239910,289.84,290.81,289.29
08/30/2018,290.3,61132280,290.94,291.36,289.63
08/29/2018,291.48,61428440,290.16,291.74,289.8854
08/28/2018,289.92,46825850,290.3,290.4175,289.4
08/27/2018,289.78,56960210,288.86,289.9,288.68
08/24/2018,287.51,57455140,286.44,287.67,286.38
08/23/2018,285.79,49159070,285.97,286.94,285.43
08/22/2018,286.17,44860080,285.88,286.76,285.575
08/21/2018,286.34,66735600,286.25,287.31,285.7135
08/20/2018,285.67,39617170,285.57,285.97,285.06
08/17/2018,285.06,65486180,283.83,285.5601,283.37
08/16/2018,284.06,69735140,283.4,285.04,283.36
08/15/2018,281.78,102770900,282.38,282.54,280.16
08/14/2018,283.9,43699800,282.92,284.17,282.4833
08/13/2018,282.1,65603520,283.47,284.16,281.77
08/10/2018,283.16,76861430,283.45,284.055,282.36
08/09/2018,285.07,35577000,285.53,285.97,284.915
08/08/2018,285.46,41980470,285.39,285.91,284.94
08/07/2018,285.58,43055550,285.39,286.01,285.24
08/06/2018,284.64,39089820,283.64,284.99,283.2015
08/03/2018,283.6,53903840,282.53,283.6577,282.33
08/02/2018,282.39,63362570,279.39,282.58,279.16
08/01/2018,280.86,53750270,281.56,282.13,280.1315
07/31/2018,281.33,68048690,280.81,282.02,280.38
07/30/2018,279.95,63129490,281.51,281.69,279.36
07/27/2018,281.42,76745550,283.71,283.82,280.38
07/26/2018,283.34,57764990,283.2,284.11,283.09
07/25/2018,284.01,78136310,281.33,284.37,281.28
07/24/2018,281.61,67830670,281.79,282.56,280.63
07/23/2018,280.2,46971110,279.45,280.43,279.06
